synonym,word
救總,大陸災胞救濟總會
救總,救總
救總,中國大陸災胞救濟總會
救總,中華救助總會
救總,中國大陸災胞總會
中央日報,中央日報
中央日報,中央日報社
中投,中央投資公司
中央委員會,中央委員會
財務委員會,中央財務委員會
財務委員會,財委會
財務委員會,財務委員會
中影,中央電影公司
中影,中影
中影,中影公司
中影,中央電影事業股份有限公司
中央銀行,中央銀行
中改會,中改會
中改會,中央改造委員會
救國團,中國青年反共救國團
救國團,中國青年救國團
救國團,救國團
國民黨,中國國民黨
國民黨,國民黨
中國農民銀行,中國農民銀行
中廣,中國廣播公司
中廣,中國廣播股份有限公司
中廣,中廣公司
中華日報,中華日報
婦聯會,中華婦女反共抗俄聯合會
婦聯會,中華婦女反共聯合會
婦聯會,婦聯會
婦聯會,中華婦女聯合會
婦聯會,中華婦女反共抗俄總會
中華貿易開發公司,中華貿易開發公司
公路黨部,公路黨部
心戰總隊,心戰總隊
心戰總隊,國防部心戰總隊
文工會,文工會
文工會,文化工作會
日產戲院,日產戲院
日產戲院,日產戲院
台電,台電公司
台灣省公產管理處,台灣省公產管理處
台灣省行政長官公署,台灣省行政長官公署
農教電影,台灣農業教育電影股份有限公司
農教電影,農教電影公司
台灣電影事業股份有限公司,台灣電影事業股份有限公司
台灣銀行,台灣銀行
正中書局,正中書局
民眾服務,民眾服務
立法委員,立法委員
交通通訊傳播大樓,交通通訊傳播大樓
地方黨部,地方黨部
行政院,行政院
行政院主計處,行政院主計處
知識青年黨部,知青黨部
知識青年黨部,知識青年黨部
南勢角工廠,南勢角工廠
省黨部,省黨部
研考會,研考會
革命實踐研究院,革命實踐研究院
革實院,革實院
革實院,革命實踐研究院
革實院,革實院
革實院,革命實踐研究院
秘書處,秘書處
國產署,財政部國有財產局
國防部,國防部
國防最高委員會,國防最高委員會
國家政策研究基金會,國家政策研究基金會
婦工會,婦工會
婦工會,中華日報
產業黨部,產業黨部
第二組,第二組
第三組,第三組
第五組,第五組
第六組,第六組
第四組,第四組
勞軍捐,勞軍捐
勞軍捐,勞軍捐
華夏投資,華夏投資公司
華夏投資,華夏投資股份有限公司
新世界戲院,新世界戲院
經濟部,經濟部
經濟部商業司,經濟部商業司
臺北市長,臺北市長
臺北市政府,臺北市政府
臺北市黨部,臺北市黨部
臺灣大學醫學院暨醫院,臺灣大學醫學院暨醫院
臺灣省政府建設廳,臺灣省政府建設廳
臺灣區產業黨部委員會,臺灣區產業黨部委員會
審計部,審計部
中常會,中常會
中常會,中央常務委員會
臺灣放送協會,臺灣放送協會
救濟年報,救濟年報
港九救委會,港九救委會
民眾服務社,中華民國民眾服務總社
民眾服務社,民眾服務分社
青工會,青工會
赤十字會社,赤十字社
復興計劃,復興計劃
中央心戰指導會報,中央心戰指導會報
亞盟,亞洲人民反共聯盟
亞盟,亞洲太平洋自由民主聯盟
亞盟,亞洲人民反共聯盟
亞盟,亞洲人民反共聯盟中華民國總會
中山獎學金,中山獎學金
行政院新聞局,行政院新聞局
海外工作,海外工作
心戰會報,中央心理作戰指導會報
心戰會報,中央心理作戰指導會報
心戰會報,中央心理作戰指導會報
台火公司,台灣火柴股份有限公司
台火公司,台火公司
國防部總政治部,國防部總政治部
國防部總政治部,國防部總政治部
國防部總政治部,國防部政工部
國防部總政治部,國防部政治部
國防部總政治部,國防部總政治作戰部
國防部總政治部,國防部總政治作戰局
民眾服務站,民眾服務站
中央聯戰工作小組,中央聯戰工作小組
九龍商會,九龍商會
警備總部,台灣警備總司令部
警備總部,警備總部
進出口公會,進出口公會
軍友社,中華民國軍人之友社
軍友社,軍人之友社
婦女工作會,婦女工作會
中統,中統
松漆公司,松山油漆廠股份有限公司
松漆公司,松漆公司
農教電影公司,台灣農業教育電影股份有限公司
農教電影公司,農業教育電影公司
農教電影公司,農教電影公司
青年黨部,青年黨部
圓山軍訓團,圓山軍訓團
中國青年黨,中國青年黨
中國民主社會黨,中國民主社會黨
台灣省長官公署,台灣省長官公署
電劇公會,省電劇公會
電劇公會,台灣省電影劇院公會
省政府財政廳,省政府財政廳
非常委員會,非常委員會
青年黨,青年黨
台灣窒素工業株式會社,台灣窒素工業株式會社
工礦公司,台灣工礦股份有限公司
齊魯企業,齊魯企業股份有限公司
台灣企業公司籌備處,台灣企業公司籌備處
農林公司,台灣農林股份有限公司
中央協調小組,中央協調小組
美援委員會,行政院美援運用委員會
松山油漆廠,松山油漆廠
新中國工程打撈公司,新中國工程打撈公司
資源管理委員會,資源管理委員會
中央宣傳部,中央宣傳部
中央廣播事業管理處,中央廣播事業管理處
農復會,農復會
幹部訓練委員會,幹部訓練委員會
臺灣省教育廳,臺灣省教育廳
忠貞黨員,忠貞黨員
特種黨部,特種黨部
臺灣省執行委員會,臺灣省執行委員會
長官公署,長官公署
國家安全局,國家安全局
建台橡膠廠,建台橡膠廠
台灣化學股份有限公司,台灣化學股份有限公司
中央,中央
內政部,內政部
鐵路局,鐵路局
反共,反共
教育部,教育部
外交部,外交部
財政部,財政部
交通部,交通部
立法院,立法院
省政府,省政府
監察院,監察院
新聞局,新聞局
中央黨部,中央黨部
總政治部,總政治部
台灣省黨部,台灣省黨部
總統府,總統府
市政府,市政府
婦聯總會,婦聯總會
臺灣廣播電臺,臺灣廣播電臺
台北市政府,台北市政府
國民黨中常會,國民黨中常會
主計處,主計處
齊魯公司,齊魯公司
公產管理處,公產管理處
國民政府,國民政府
財政廳,財政廳
省議會,省議會
省進出口公會,省進出口公會
臺灣省黨部,臺灣省黨部
黨部,黨部
國民黨中央委員會,國民黨中央委員會
總政戰部,總政戰部
中常委,中常委
國民黨中央第五組,國民黨中央第五組
國民大會,國民大會
省財政廳,省財政廳
僑委會,僑委會
中國國民黨中央委員會,中國國民黨中央委員會
裕台公司,裕台公司
省府,省府
中央通訊社,中央通訊社
中六組,中六組
中國國民黨中央改造委員會,中國國民黨中央改造委員會
資源委員會,資源委員會
財政局,財政局
臺灣總督府交通局,臺灣總督府交通局
青年救國團,青年救國團
中國國民黨中央委員會秘書處,中國國民黨中央委員會秘書處
民社黨,民社黨
央行,央行
瑞芳民眾服務社,瑞芳民眾服務社
台灣省政府,台灣省政府
國庫局,國庫局
聯合國,聯合國
反共救國團,反共救國團
央廣,央廣
大通銀行,大通銀行
大陸地區工作指導委員會,大陸地區工作指導委員會
法務部,法務部
中央財委會,中央財委會
國民黨中央工作會,國民黨中央工作會
臺灣省公產管理處,臺灣省公產管理處
國民黨中央黨部,國民黨中央黨部
臺灣省政府,臺灣省政府
台灣放送協會,台灣放送協會
省政府建設廳,省政府建設廳
竹塘鄉公所,竹塘鄉公所
行政局,行政局
台北市進出口公會,台北市進出口公會
國大,國大
中央委,中央委
國會,國會
駐美大使館,駐美大使館
教育廳,教育廳
國產局,國產局
財產局,財產局
齊魯企業公司,齊魯企業公司
央廣播事業管理處,央廣播事業管理處
央財務委員會,央財務委員會
蒙藏委員會,蒙藏委員會
中國協會,中國協會
總政治作戰部,總政治作戰部
司法行政部,司法行政部
台銀,台銀
台灣省委員會,台灣省委員會
紀律委員會,紀律委員會
台灣省進出口商業同業公會聯合會,台灣省進出口商業同業公會聯合會
台灣省議會,台灣省議會
大林地政事務所,大林地政事務所
臺灣省政府財政廳,臺灣省政府財政廳
建設廳,建設廳
台灣省進出口公會,台灣省進出口公會
法制室,法制室
央行國庫局,央行國庫局
南京行政院,南京行政院
台灣區產業黨部委員會,台灣區產業黨部委員會
安全局,安全局
中宣部,中宣部
情報局,情報局
總統府機要室,總統府機要室
西港民眾服務社,西港民眾服務社
台灣鐵路管理局,台灣鐵路管理局
台北市議會,台北市議會
臺灣廣播電台,臺灣廣播電台
央委員會,央委員會
國安局,國安局
中四組,中四組
亞盟中國總會,亞盟中國總會
台灣總督府交通局,台灣總督府交通局
南方執行部,南方執行部
中二組,中二組
高樹鄉公所,高樹鄉公所
交通處,交通處
中共,中共
高樹鄉民眾服務社,高樹鄉民眾服務社
美國紐約大通銀行,美國紐約大通銀行
國民黨革實院,國民黨革實院
中央第四組,中央第四組
司法院,司法院
台影公司,台影公司
營建處,營建處
臺灣銀行,臺灣銀行
抗俄聯合會,抗俄聯合會
中央工作會,中央工作會
啟聖公司,啟聖公司
台灣廣播電台,台灣廣播電台
駐紐約總領事館,駐紐約總領事館
行政長官公署,行政長官公署
台北市進出口商業同業公會,台北市進出口商業同業公會
總統府第一局,總統府第一局
敎育部,敎育部
台北市黨部,台北市黨部
臺灣省政府公產管理處,臺灣省政府公產管理處
建台橡膠工廠,建台橡膠工廠
印尼軍方,印尼軍方
市黨部,市黨部
市議會,市議會
大陸救濟總會,大陸救濟總會
實踐研究院,實踐研究院
台灣省政府建設廳,台灣省政府建設廳
青年反共救國團,青年反共救國團
黨史會,黨史會
日本赤十字社,日本赤十字社
國際紅十字會,國際紅十字會
中華日報社,中華日報社
中華民國廣播電視事業協會,中華民國廣播電視事業協會
中山獎學金考試委員會,中山獎學金考試委員會
省府財政廳,省府財政廳
聯合會,聯合會
中央社工會,中央社工會
調景嶺難民營,調景嶺難民營
國史館,國史館
國國民黨,國國民黨
社會處,社會處
國庫署,國庫署
國民黨中央委員會秘書處,國民黨中央委員會秘書處
中央常會,中央常會
中國國民黨台灣省委員會,中國國民黨台灣省委員會
臺灣省改造委員會,臺灣省改造委員會
中國國民黨中央執行委員會,中國國民黨中央執行委員會
中央政府,中央政府
調查局,調查局
讀者文摘,讀者文摘
市委會,市委會
臺北國際社區廣播電臺,臺北國際社區廣播電臺
警政署,警政署
中央主管組,中央主管組
國民黨中央宣傳部,國民黨中央宣傳部
中央六組,中央六組
國民黨臺灣省黨部,國民黨臺灣省黨部
紐約大通銀行,紐約大通銀行
中國自由聯盟,中國自由聯盟
高雄市進出口公會,高雄市進出口公會
省貿圳,省貿圳
立院,立院
中央委員會秘書處,中央委員會秘書處
台內社,台內社
中央團部,中央團部
台鐵運務處,台鐵運務處
台灣電力公司,台灣電力公司
反共建國聯盟,反共建國聯盟
臺灣企業公司籌備處,臺灣企業公司籌備處
民政廳,民政廳
