synonym,word
蔣中正,蔣中正
蔣中正,總裁
谷正綱,谷理事長正綱
谷正綱,谷正綱
谷正綱,谷委員正綱
谷正綱,谷主任正綱
蔣經國,蔣董事長經國
蔣經國,蔣委員經國
蔣經國,蔣主席經國
蔣經國,蔣經國
蔣經國,蔣主任經國
蔣經國,蔣常委經國
陳誠,陳委員誠
陳誠,陳副總裁
陳誠,陳院長誠
陳誠,陳誠
陳誠,陳誠副總裁
張其昀,張秘書長其昀
張其昀,張部長其昀
張其昀,張委員其昀
張其昀,張其昀
鄭彥棻,鄭主任彥棻
鄭彥棻,鄭秘書長彥棻
鄭彥棻,鄭彥棻
雷震,雷震
李吉辰,李吉辰
李吉辰,李總經理吉辰
陳建中,陳建中
張厲生,張厲生
張厲生,張秘書厲生
張厲生,張秘書長厲生
唐縱,唐秘書長縱
唐縱,唐縱
張道藩,張委員道藩
張道藩,張道藩
陶希聖,陶委員希聖
陶希聖,陶希聖
陶希聖,陶主任希聖
陳雪屏,陳主任雪屏
陳雪屏,陳祕書長雪屏
陳雪屏,陳雪屏
陳雪屏,陳秘書長雪屏
袁守謙,袁守謙
袁守謙,袁委員守謙
袁守謙,袁主任守謙
谷鳳翔,谷委員鳳翔
谷鳳翔,谷鳳翔
洪蘭友,洪蘭友
郭驥,郭驥
倪文亞,倪文亞
倪文亞,倪主任文亞
倪文亞,倪委員文亞
吳國楨,吳主席國楨
吳國楨,吳國楨
徐柏園,徐柏園
徐柏園,徐董事長柏園
曹聖芬,曹社長聖芬
曹聖芬,曹主任聖芬
曹聖芬,曹聖芬
沈昌煥,沈委員昌煥
沈昌煥,沈主任昌煥
沈昌煥,沈昌煥
沈昌煥,沈部長昌煥
齊世英,齊世英
徐慶鐘,徐部長慶鐘
徐慶鐘,徐慶鐘
嚴家淦,嚴院長靜波
嚴家淦,嚴主席家淦
嚴家淦,嚴家淦
林溪圳,林溪圳
林溪圳,林理事長溪圳
黃季陸,黃季陸
黃季陸,黃委員季陸
黃朝琴,黃議長朝琴
黃朝琴,黃朝琴
黃朝琴,黃委員朝琴
郭澄,郭澄
郭澄,郭主任澄
董顯光,董顯光
連震東,連震東
連震東,連部長震東
錢劍秋,錢主任劍秋
錢劍秋,錢劍秋
黃少谷,黃副院長少谷
黃少谷,黃少谷
張寶樹,張寶樹
周至柔,周委員至柔
周至柔,周至柔
周至柔,周總長至柔
皮以書,皮總幹事以書
皮以書,皮以書
黃杰,黃杰
楊志鞏,楊總幹事志鞏
楊志鞏,楊志鞏
胡健中,胡委員健中
胡健中,胡健中
王超凡,王超凡
王超凡,王主任超凡
俞鴻鈞,俞院長鴻鈞
俞鴻鈞,俞鴻鈞
彭孟緝,彭孟緝
王叔銘,王叔銘
秦孝儀,秦孝儀
李壽雍,李壽雍
上官業佑,上官業佑
上官業佑,上官主任業佑
王世杰,王世杰
王世杰,王秘書長世杰
吳嵩慶,吳嵩慶
余井塘,余部長井塘
余井塘,余井塘
胡家鳳,胡家鳳
黃成金,黃成金
勞聲寰,勞聲寰
葉翔之,葉翔之
葉翔之,葉主任翔之
劉仲榮,劉仲榮
劉仲榮,劉副處長仲榮
曾虛白,曾虛白
阮毅成,阮毅成
丘念台,丘念臺
丘念台,丘念台
丘念台,丘委員念臺
丘念台,丘委員念台
張泰祥,張泰祥
張泰祥,張副主任泰祥
張魯琳,張魯琳
李敖,李敖
俞國華,俞國華
鄧傳楷,鄧傳楷
鄧傳楷,鄧次長傳楷
葉公超,葉公超
王寵惠,王寵惠
馬超俊,馬超俊
閻錫山,閻錫山
于右任,于右任
于右任,于院長右任
羅家倫,羅家倫
羅家倫,羅主委家倫
劉兆田,劉兆田
郭雨新,郭議員雨新
郭雨新,郭雨新
周宏濤,周宏濤
周宏濤,周團長宏濤
萬耀煌,萬委員耀煌
萬耀煌,萬主任耀煌
萬耀煌,萬耀煌
殷海光,殷海光
趙光宸,趙光宸
陳瑜,陳瑜
彭明敏,彭明敏
張炎元,張秘書長炎元
張炎元,張炎元
張炎元,張主任炎元
顧祝同,顧祝同
李立柏,李立柏
王則甫,王則甫
鄭崇武,鄭崇武
鄭善祺,鄭善祺
林彬,林彬
姚善輝,姚善輝
孫中山,孫中山
謝然之,謝然之
汪錫鈞,汪錫鈞
魏景蒙,魏景蒙
謝冠生,謝冠生
田炯錦,田炯錦
黃紹祖,黃紹祖
鄭森棨,鄭秘書森棨
鄭森棨,鄭副主任森棨
鄭森棨,鄭森棨
泰祥甲,泰祥甲
傅雲,傅雲
陳果夫,陳果夫
張京育,張京育
王人豪,王人豪
姚大海,姚大海
俞大維,俞大維
陳慶瑜,陳秘書長慶瑜
陳慶瑜,陳慶瑜
陳啟天,陳啟天
洪健昭,洪健昭
劉宗法,劉宗法
張宗棟,張宗棟
馬星野,馬星野
馬樹禮,馬樹禮
高旭,高旭
吳劍光,吳劍光
吳國禎,吳國禎
許水德,許水德
許水德,許部長水德
許水德,許市長水德
唐盼盼,唐盼盼
王任遠,王任遠
謝伯昌,謝伯昌
王雲五,王雲五
盧文金,盧文金
魏道明,魏道明
丑巧孝,丑巧孝
谷振海,谷振海
黃天才,黃董事長天才
黃天才,黃天才
王東原,王東原
劉文輝,劉文輝
蔡培火,蔡培火
孫立人,孫立人
李建興,李建興
王昇,王執行官
王昇,王昇
李萬居,李萬居
董世芳,董副主任世芳
董世芳,董世芳
徐秋英,徐秋英
徐鼐,徐鼐
許榮淑,許榮淑
許榮淑,許委員榮淑
張知本,張知本
張祥傳,張祥傳
陳立夫,陳立夫
許婉清,許婉清
陳茂榜,陳茂榜
方治,方治
吳忠信,吳忠信
辜振甫,辜振甫
陳儀,陳儀
梁寒操,梁寒操
吳三連,吳議員三連
吳三連,吳三連
葉自成,葉自成
詹天性,詹天性
梅貽琦,梅貽琦
吳淑珍,吳委員淑珍
吳淑珍,吳淑珍
吳兆棠,吳兆棠
吳兆棠,吳副主任兆棠
蔣宋美齡,蔣宋美齡
蔣宋美齡,宋美齡
史尚寬,史尚寬
夏濤聲,夏濤聲
楊秋澤,楊秋澤
楊家麟,楊家麟
楊毓滋,楊毓滋
周一夔,周一夔
謝東閔,謝東閔
杭立武,杭立武
唐啟明,唐啟明
周柏雅,周柏雅
何應欽,何應欽
陳漢平,陳漢平
王志全,王志全
陳炳寰,陳炳寰
王建煊,王建煊
陳良,陳良
朱家驊,朱家驊
戴安國,戴安國
徐培根,徐培根
陳雪屛,陳雪屛
張群,張群
張鑑年,張鑑年
孫逸民,孫逸民
李祖源,李祖源
黃從善,黃從善
劉政原,劉政原
胡適,胡適
錢天鶴,錢天鶴
李恆連,李恆連
安德生氏,安德生氏
黃國書,黃國書
李白虹,李白虹
萬鴻圖,萬鴻圖
黃肇珩,黃肇珩
巴頓,巴頓
李友邦,李友邦
沈宗瀚,沈宗瀚
鄭品聰,鄭品聰
崔書岑,崔書岑
施金鳳,施金鳳
翁鈐,翁鈐
翁鈐,翁董事長鈐
翁鈐,翁主委鈐
翟宗濤,翟宗濤
翁慶興,翁慶興
曹啟文,曹啟文
李士英,李士英
孫運璿,孫部長運璿
孫運璿,孫運璿
李承龍,李承龍
李宗黃,李宗黃
尹國樑,尹國樑
張發奎,張發奎
蘇加諾,蘇加諾
葉東滋,葉東滋
張駿五,張駿五
徐晴嵐,徐晴嵐
徐汝楫,徐汝楫
蔣彥士,蔣彥士
蔣渭川,蔣渭川
張中興,張中興
蕭毅肅,蕭毅肅
張希文,張希文
薛人仰,薛人仰
張式綸,張式綸
羅英德,羅英德
羅遠才,羅遠才
端木愷,端木愷
錢思亮,錢思亮
王冠吾,王冠吾
劉真,劉真
王亞權,王亞權
阮清雄,阮清雄
關吉玉,關吉玉
鈕永建,鈕永建
鄭洛賢,鄭洛賢
王師曾,王師曾
鄭沈二,鄭沈二
王師凱,王師凱
鄭道儒,鄭道儒
顧儉德,顧儉德
顧孟餘,顧孟餘
王宋瓊英,王宋瓊英
王家棫,王家棫
陳隆志,陳隆志
陳葆襄,陳葆襄
雨辰陷,雨辰陷
牟乃紘,牟乃紘
陳嘉銘,陳嘉銘
倪炯聲,倪炯聲
傅斯年,傅斯年
傅正,傅正
浦薛鳳,浦薛鳳
浦薛鳳,浦次長薛鳳
陳維屏,陳維屏
陳為荷,陳為荷
陳景陶,陳景陶
陳振能,陳振能
陳尙文,陳尙文
黃宇元,黃宇元
史尙寬,史尙寬
梁興義,梁興義
吳廷琰,吳廷琰
吳鐵城,吳鐵城
呂曉通,呂曉通
森棨甲,森棨甲
黃啟瑞,黃啟瑞
賀衷寒,賀衷寒
賀國光,賀國光
黃伯度,黃伯度
楊國慶,楊國慶
周伯瑜,周伯瑜
周書楷,周書楷
周書楷,周委員長書楷
許鄧樸,許鄧樸
盧文雲,盧文雲
林豐正,林豐正
黃石城,黃石城
唐綜,唐綜
謝徵孚,謝徵孚
楊繼曾,楊繼曾
邱昌渭,邱昌渭
邱創壽,邱創壽
段金生,段金生
連戰,連戰
馬克斯,馬克斯
王志祥,王志祥
郭哲,郭哲
